surface,count,year_counts,context_count,first_context
take,13,"{""2021"": 4, ""2022"": 1, ""2023"": 2, ""2024"": 2, ""2025"": 3, ""2026"": 1}",9,"Court of Appeals for the District of Columbia Circuit was the latest take of the Federal Communications Commission (FCC) on net neutrality, adopted on a party-line vote in 2017."
act,13,"{""2021"": 1, ""2022"": 3, ""2023"": 2, ""2024"": 2, ""2025"": 3, ""2026"": 2}",7,The endless legal battles and back-and-forth at the FCC cry out for Congress to act.
customers,13,"{""2021"": 3, ""2023"": 9, ""2026"": 1}",10,"Saving customers money Energy companies can use AI to help customers reduce their electricity bills, saving them money while helping the environment."
old,13,"{""2022"": 2, ""2023"": 2, ""2024"": 4, ""2025"": 5}",7,Old objects continue to deteriorate.
workers,13,"{""2022"": 7, ""2023"": 3, ""2026"": 3}",7,Personal grievance procedures were designed to guard the jobs of ordinary workers from unjustified dismissals.
housing,13,"{""2023"": 13}",6,"In New Hampshire, where the rental vacancy rate has dropped below 1 percent, housing advocates fear unchecked short-term rentals will put further pressure on an already strained market."
books,13,"{""2023"": 9, ""2024"": 1, ""2026"": 3}",7,"Both of these books are published next week by Penguin Random House (PRH), a company currently involved in a stand-off with Waterstones."
means,12,"{""2020"": 1, ""2021"": 2, ""2023"": 1, ""2024"": 3, ""2025"": 4, ""2026"": 1}",7,Perhaps museums and governments might explore some role for the use of nearly exact reproductions as a means of resolving issues relating to returning works of art and antiquities.
studies,12,"{""2020"": 2, ""2021"": 2, ""2022"": 6, ""2023"": 1, ""2024"": 1}",7,"More than half a century ago, the Massachusetts Institute of Technology opened its Center for Advanced Visual Studies (CAVS) to explore the role of technology in culture."
group,12,"{""2020"": 1, ""2021"": 1, ""2023"": 4, ""2024"": 1, ""2025"": 4, ""2026"": 1}",10,"A group of Labour MPs, among them Yvette Cooper, are bringing in the new year with a call to institute a UK town of culture award."
publishing,12,"{""2020"": 8, ""2022"": 1, ""2023"": 3}",6,Scientific publishing has long been a licence to print money.
money,12,"{""2020"": 3, ""2021"": 7, ""2022"": 1, ""2023"": 1}",7,Scientific publishing has long been a licence to print money.
content,12,"{""2020"": 2, ""2023"": 8, ""2026"": 2}",10,"With the content of papers secured for free, the publisher needs only to find a market for its journal."
papers,12,"{""2020"": 3, ""2022"": 1, ""2023"": 8}",8,"With the content of papers secured for free, the publisher needs only to find a market for its journal."
industry,12,"{""2020"": 2, ""2023"": 5, ""2025"": 1, ""2026"": 4}",4,"Scientific publishers routinely report profit margins approaching 40% on their operations, at a time when the rest of the publishing industry is in an existential crisis."
learned,12,"{""2020"": 3, ""2021"": 1, ""2022"": 2, ""2023"": 1, ""2024"": 2, ""2025"": 2, ""2026"": 1}",2,"Our studies focused on the impact of zoo experiences on how people think about themselves and nature, and the data points extracted from our studies do not, in any way, discount what is learned in a zoo visit."
order,12,"{""2020"": 1, ""2021"": 8, ""2023"": 1, ""2025"": 1, ""2026"": 1}",5,"In order to ensure that elite women have more such opportunities, they have proposed imposing government quotas."
california,12,"{""2020"": 4, ""2021"": 1, ""2026"": 7}",5,"The bills are similar to a measure recently adopted in California, which last year became the first state to require gender quotas for private companies."
protection,12,"{""2020"": 1, ""2021"": 1, ""2022"": 5, ""2023"": 1, ""2024"": 3, ""2026"": 1}",7,"The US Supreme Court frowns on sex-based classifications unless they are designed to address an important policy interest, Because the California law applies to all boards, even where there is no history of prior discrimination, courts are likely to rule that the law violates the constitutional guarantee of equal protection."
large,12,"{""2020"": 1, ""2022"": 1, ""2023"": 3, ""2024"": 1, ""2025"": 2, ""2026"": 4}",9,"Last Thursday, the French Senate passed a digital services tax, which would impose an entirely new tax on large multinationals that provide digital services to consumers or users in France."
past,12,"{""2020"": 1, ""2021"": 2, ""2022"": 2, ""2025"": 3, ""2026"": 4}",5,"Instead, the digital services tax is part of a much larger trend, with countries over the past few years proposing or putting in place an alphabet soup of new international tax provisions."
school,12,"{""2020"": 1, ""2021"": 2, ""2022"": 4, ""2023"": 1, ""2024"": 1, ""2025"": 1, ""2026"": 2}",8,"With the use of eye-tracking technology, Minson of the Harvard Kennedy School of Government concluded that eye contact can signal very different kinds of messages, depending on the situation."
short-term,12,"{""2021"": 1, ""2023"": 11}",6,"In New Hampshire, where the rental vacancy rate has dropped below 1 percent, housing advocates fear unchecked short-term rentals will put further pressure on an already strained market."
service,12,"{""2021"": 7, ""2023"": 4, ""2026"": 1}",7,"It is all very well train operators trumpeting the improvements they are making to the network, but passengers should be able to expect a basic level of service for the substantial sums they are now paying to travel."
value,12,"{""2021"": 1, ""2022"": 4, ""2023"": 1, ""2024"": 4, ""2025"": 2}",3,But she underestimates the educational value of zoos.
early,12,"{""2021"": 2, ""2022"": 3, ""2023"": 1, ""2024"": 4, ""2026"": 2}",5,"From the early days of broadband, advocates for consumers and web-based companies worried that the cable and phone companies selling broadband connections had the power and incentive to favor affiliated websites over their rivals'."
images,12,"{""2021"": 1, ""2023"": 4, ""2024"": 7}",7,"Throughout the trip, Jackson juggled multiple cameras and plate sizes using the collodion process that involved coating the plates with a chemical mixture, exposing them and developing the resulting images with a portable darkroom."
broadband,12,"{""2021"": 12}",6,"From the early days of broadband, advocates for consumers and web-based companies worried that the cable and phone companies selling broadband connections had the power and incentive to favor affiliated websites over their rivals'."
streaming,12,"{""2021"": 1, ""2025"": 10, ""2026"": 1}",7,Yet the FCC also ended the investigations of broadband providers that imposed data caps on their rivals' streaming services but not their own.
war,12,"{""2021"": 6, ""2022"": 3, ""2025"": 1, ""2026"": 2}",5,Those societies came out of the war with levels of enrollment that had been roughly constant at 3-5% of the relevant age groups during the decades before the war.
museums,12,"{""2022"": 6, ""2024"": 6}",9,"All of which creates huge headaches for institutions, such as museums, trying to preserve culturally important objects."
objects,12,"{""2022"": 5, ""2024"": 5, ""2025"": 2}",8,"All of which creates huge headaches for institutions, such as museums, trying to preserve culturally important objects."
pupils,12,"{""2023"": 1, ""2024"": 1, ""2025"": 10}",4,changes to science standards for pre-teen pupils.
prh,12,"{""2023"": 12}",7,"Both of these books are published next week by Penguin Random House (PRH), a company currently involved in a stand-off with Waterstones."
beauty,12,"{""2023"": 1, ""2025"": 1, ""2026"": 10}",2,"In addition to the entourage of scientists, the team also included artists: Painter Thomas Moran and photographer Jackson were charged with capturing this astounding natural beauty and sharing it with the world."
film,12,"{""2025"": 1, ""2026"": 11}",4,"But the age of streaming has been a boon for some unintended winners: pirates that use software to rip a film or television show in seconds from legitimate online video platforms and host the titles on their own, illegitimate services, which rake in about $2 billion annually from ads and subscriptions."
lazynote,12,"{""2026"": 12}",0,
kaoyan,12,"{""2026"": 12}",0,
english-one,12,"{""2026"": 12}",0,
say,11,"{""2020"": 1, ""2021"": 2, ""2022"": 3, ""2024"": 2, ""2026"": 3}",6,"When a faculty or department grows from, say, five to 20 members within three or four years, and when the new staff are predominantly young men and women fresh from postgraduate study, they largely define the norms of academic life in that faculty."
however,11,"{""2020"": 1, ""2021"": 3, ""2022"": 3, ""2023"": 3, ""2025"": 1}",9,"However, over the past 12 months, those commuters have also experienced some of the worst rail strikes in years."
general,11,"{""2020"": 3, ""2021"": 1, ""2022"": 1, ""2024"": 1, ""2025"": 2, ""2026"": 3}",7,"More than half of all British scientific research is now published under open access terms: either freely available from the moment of publication, or paywalled for a year or more so that the publishers can make a profit before being placed on general release."
jobs,11,"{""2020"": 1, ""2021"": 1, ""2022"": 7, ""2023"": 1, ""2025"": 1}",6,"A town of culture award could, it is argued, become an annual event, attracting funding and creating jobs."
able,11,"{""2020"": 1, ""2021"": 2, ""2022"": 1, ""2023"": 3, ""2024"": 2, ""2025"": 2}",8,"Some might see the proposal as a booby prize for the fact that Britain is no longer able to apply for the much more prestigious title of European capital of culture, a sought-after award bagged by Glasgow in 1990 and Liverpool in 2008."
target,11,"{""2020"": 1, ""2023"": 4, ""2025"": 6}",6,"For example, AI can be used to analyse what type of advertising content or copy would be appropriate to speak to a specific target customer group by revealing information about trends and preferences through the analysis of big data."
publishers,11,"{""2020"": 5, ""2023"": 6}",6,"Scientific publishers routinely report profit margins approaching 40% on their operations, at a time when the rest of the publishing industry is in an existential crisis."
set,11,"{""2020"": 3, ""2021"": 3, ""2022"": 2, ""2024"": 3}",6,"The most drastic, and thoroughly illegal, reaction has been the emergence of Sci-Hub, a kind of global photocopier for scientific papers, set up in 2012, which now claims to offer access to every paywalled article published since 2015."
article,11,"{""2020"": 3, ""2022"": 4, ""2023"": 4}",7,"The most drastic, and thoroughly illegal, reaction has been the emergence of Sci-Hub, a kind of global photocopier for scientific papers, set up in 2012, which now claims to offer access to every paywalled article published since 2015."
demand,11,"{""2020"": 1, ""2021"": 5, ""2022"": 1, ""2023"": 1, ""2025"": 1, ""2026"": 2}",5,Publishers have responded to the demand that they make their product free to readers by charging their writers fees to cover the costs of preparing an article.
costs,11,"{""2020"": 5, ""2021"": 1, ""2023"": 1, ""2025"": 2, ""2026"": 2}",3,Publishers have responded to the demand that they make their product free to readers by charging their writers fees to cover the costs of preparing an article.
government,11,"{""2020"": 6, ""2021"": 1, ""2022"": 1, ""2023"": 2, ""2026"": 1}",8,"In order to ensure that elite women have more such opportunities, they have proposed imposing government quotas."
became,11,"{""2020"": 1, ""2021"": 1, ""2022"": 3, ""2023"": 2, ""2024"": 1, ""2025"": 2, ""2026"": 1}",9,"The bills are similar to a measure recently adopted in California, which last year became the first state to require gender quotas for private companies."
important,11,"{""2020"": 2, ""2022"": 2, ""2023"": 2, ""2024"": 1, ""2026"": 4}",7,"The US Supreme Court frowns on sex-based classifications unless they are designed to address an important policy interest, Because the California law applies to all boards, even where there is no history of prior discrimination, courts are likely to rule that the law violates the constitutional guarantee of equal protection."
